GLID,TxnDate,AccountNumber,AccountName,Debit,Credit,Dept,CostCenter,Description,Currency
GL000055,2024-11-02,4000,Sales Revenue,0,4128.64,Sales,CC100,AutoPost 55,AUD
GL000056,2023-04-25,5000,COGS,609.8,0,HR,CC300,AutoPost 56,CAD
GL000057,2023-12-19,5010,Travel Expense,279.32,0,Marketing,CC400,AutoPost 57,USD
GL000058,2024-09-11,4010,Online Sales,0,1790.31,Finance,CC500,AutoPost 58,CAD
GL000059,2024-02-02,5010,Travel Expense,1635.65,0,HR,CC400,AutoPost 59,CAD
GL000060,2024-04-30,4000,Sales Revenue,0,3300.5,Finance,CC400,AutoPost 60,USD
GL000061,2024-06-22,6000,Payroll Expense,1704.76,0,Marketing,CC300,AutoPost 61,AUD
GL000062,2023-09-16,5010,Travel Expense,145.25,0,IT,CC300,AutoPost 62,EUR
GL000063,2024-08-25,6000,Payroll Expense,1423.44,0,Marketing,CC300,AutoPost 63,EUR
GL000064,2023-09-03,5010,Travel Expense,793.01,0,IT,CC100,AutoPost 64,CAD
GL000065,2023-02-27,4010,Online Sales,0,2977.78,Marketing,CC300,AutoPost 65,USD
GL000066,2023-10-15,5010,Travel Expense,1212.65,0,Operations,CC500,AutoPost 66,EUR
GL000067,2025-05-01,4000,Sales Revenue,0,1204.96,Operations,CC300,AutoPost 67,GBP
GL000068,2025-06-23,5010,Travel Expense,1735.7,0,Marketing,CC100,AutoPost 68,USD
GL000069,2025-06-18,6000,Payroll Expense,1095.32,0,Finance,CC500,AutoPost 69,AUD
GL000070,2024-05-18,6000,Payroll Expense,553.18,0,IT,CC300,AutoPost 70,USD
GL000071,2025-05-04,4000,Sales Revenue,0,2434.55,Finance,CC300,AutoPost 71,CAD
GL000072,2024-02-21,5000,COGS,156.53,0,Finance,CC500,AutoPost 72,USD
GL000073,2025-02-02,6000,Payroll Expense,1231.32,0,HR,CC200,AutoPost 73,GBP
GL000074,2024-09-16,5010,Travel Expense,1844.88,0,Sales,CC100,AutoPost 74,AUD
GL000075,2025-04-04,5010,Travel Expense,1368.26,0,Finance,CC500,AutoPost 75,GBP
GL000076,2024-05-25,4000,Sales Revenue,0,2609.56,Sales,CC400,AutoPost 76,GBP
GL000077,2023-03-27,6000,Payroll Expense,1420.84,0,IT,CC400,AutoPost 77,AUD
GL000078,2025-03-26,5000,COGS,1671.57,0,Finance,CC300,AutoPost 78,GBP
GL000079,2023-03-16,6000,Payroll Expense,498.83,0,Operations,CC300,AutoPost 79,AUD
GL000080,2025-05-22,5010,Travel Expense,1528.9,0,Sales,CC200,AutoPost 80,USD
GL000081,2023-09-03,4000,Sales Revenue,0,4706.61,IT,CC300,AutoPost 81,EUR
GL000082,2023-12-24,5010,Travel Expense,1105.63,0,Sales,CC300,AutoPost 82,AUD
GL000083,2023-10-23,4010,Online Sales,0,3399.04,IT,CC200,AutoPost 83,AUD
GL000084,2023-12-31,5010,Travel Expense,1163.98,0,Sales,CC100,AutoPost 84,GBP
GL000085,2023-10-22,4000,Sales Revenue,0,3532.66,IT,CC300,AutoPost 85,USD
GL000086,2025-02-21,5010,Travel Expense,1395.59,0,HR,CC100,AutoPost 86,USD
GL000087,2024-11-22,5000,COGS,1441.07,0,Finance,CC100,AutoPost 87,CAD
GL000088,2023-12-15,4010,Online Sales,0,3845.76,Sales,CC500,AutoPost 88,USD
GL000089,2023-07-28,6000,Payroll Expense,1448.69,0,Marketing,CC300,AutoPost 89,CAD
GL000090,2024-04-14,5000,COGS,74.5,0,IT,CC500,AutoPost 90,GBP
GL000091,2024-11-24,4000,Sales Revenue,0,1071.73,Operations,CC400,AutoPost 91,USD
GL000092,2025-02-21,5000,COGS,1875.56,0,Finance,CC300,AutoPost 92,GBP
GL000093,2024-05-12,6000,Payroll Expense,1449.67,0,Sales,CC200,AutoPost 93,USD
GL000094,2023-10-16,5000,COGS,1782.21,0,Operations,CC500,AutoPost 94,AUD
GL000095,2023-04-25,4010,Online Sales,0,4889.25,Operations,CC300,AutoPost 95,AUD
GL000096,2023-10-12,6000,Payroll Expense,1101.33,0,Sales,CC500,AutoPost 96,GBP
GL000097,2025-05-12,5010,Travel Expense,121.65,0,HR,CC200,AutoPost 97,USD
GL000098,2023-02-15,5010,Travel Expense,137.87,0,Sales,CC500,AutoPost 98,AUD
GL000099,2023-01-09,4000,Sales Revenue,0,792.94,Finance,CC400,AutoPost 99,CAD
GL000100,2025-01-10,4010,Online Sales,0,1346.1,HR,CC300,AutoPost 100,USD
GL000101,2024-07-05,4010,Online Sales,0,961.26,Operations,CC300,AutoPost 101,CAD
GL000102,2024-10-07,5000,COGS,421.91,0,Operations,CC300,AutoPost 102,EUR
GL000103,2025-05-22,4000,Sales Revenue,0,1902.45,IT,CC500,AutoPost 103,GBP
GL000104,2023-09-01,6000,Payroll Expense,764.96,0,Finance,CC200,AutoPost 104,USD
GL000105,2023-08-24,4000,Sales Revenue,0,734.03,Sales,CC100,AutoPost 105,EUR
GL000106,2023-06-30,5000,COGS,1157.81,0,Marketing,CC400,AutoPost 106,AUD
GL000107,2025-06-15,5010,Travel Expense,1552.29,0,Finance,CC400,AutoPost 107,GBP
GL000108,2024-01-28,6000,Payroll Expense,1400.69,0,HR,CC400,AutoPost 108,GBP
GL000109,2024-03-04,5010,Travel Expense,1548.81,0,Operations,CC100,AutoPost 109,AUD
GL000110,2025-02-14,6000,Payroll Expense,1166.95,0,Sales,CC100,AutoPost 110,GBP
GL000111,2023-06-25,4000,Sales Revenue,0,3630.78,Finance,CC300,AutoPost 111,CAD
GL000112,2024-03-30,4000,Sales Revenue,0,1148.97,HR,CC100,AutoPost 112,CAD
GL000113,2024-09-10,4000,Sales Revenue,0,1826.98,Finance,CC200,AutoPost 113,AUD
GL000114,2023-10-28,5010,Travel Expense,464.27,0,Finance,CC500,AutoPost 114,USD
GL000115,2025-04-15,5010,Travel Expense,325.09,0,Finance,CC400,AutoPost 115,USD
GL000116,2023-04-13,4000,Sales Revenue,0,3674.13,HR,CC100,AutoPost 116,CAD
GL000117,2023-09-01,4010,Online Sales,0,2578.43,Finance,CC300,AutoPost 117,GBP
GL000118,2025-01-12,6000,Payroll Expense,523.81,0,Marketing,CC500,AutoPost 118,AUD
GL000119,2024-11-30,5010,Travel Expense,1120.46,0,Finance,CC300,AutoPost 119,AUD
GL000120,2023-03-15,5000,COGS,547.59,0,IT,CC500,AutoPost 120,AUD
GL000121,2025-01-24,4010,Online Sales,0,2032.52,Operations,CC400,AutoPost 121,CAD
GL000122,2023-07-21,6000,Payroll Expense,1405.18,0,Operations,CC300,AutoPost 122,GBP
GL000123,2024-02-23,5000,COGS,150.67,0,Marketing,CC500,AutoPost 123,CAD
GL000124,2024-08-06,4010,Online Sales,0,902.67,IT,CC300,AutoPost 124,CAD
GL000125,2023-11-30,4000,Sales Revenue,0,160.09,Finance,CC500,AutoPost 125,CAD
GL000126,2023-12-16,5010,Travel Expense,367.4,0,IT,CC500,AutoPost 126,AUD
GL000127,2023-02-05,4000,Sales Revenue,0,4964.84,HR,CC500,AutoPost 127,GBP
GL000128,2025-04-15,5010,Travel Expense,925,0,Sales,CC500,AutoPost 128,EUR
GL000129,2025-01-14,5000,COGS,1697.34,0,IT,CC500,AutoPost 129,EUR
GL000130,2023-09-05,5000,COGS,308.37,0,Operations,CC500,AutoPost 130,CAD
GL000131,2024-07-05,5000,COGS,1304.32,0,Operations,CC400,AutoPost 131,USD
GL000132,2024-03-04,4010,Online Sales,0,3993.88,IT,CC100,AutoPost 132,AUD
GL000133,2025-02-22,4000,Sales Revenue,0,703.6,Marketing,CC100,AutoPost 133,GBP
GL000134,2024-08-31,5010,Travel Expense,355.53,0,Marketing,CC400,AutoPost 134,EUR
GL000135,2024-09-02,5000,COGS,1915.19,0,HR,CC300,AutoPost 135,USD
GL000136,2023-09-08,4010,Online Sales,0,877.66,HR,CC300,AutoPost 136,AUD
GL000137,2024-10-17,4010,Online Sales,0,2719.49,Marketing,CC300,AutoPost 137,USD
GL000138,2025-01-04,5010,Travel Expense,1695.8,0,HR,CC100,AutoPost 138,EUR
GL000139,2024-09-23,6000,Payroll Expense,1304.84,0,HR,CC100,AutoPost 139,AUD
GL000140,2025-06-24,4000,Sales Revenue,0,708.58,IT,CC200,AutoPost 140,GBP
GL000141,2023-12-25,5010,Travel Expense,1650.46,0,Marketing,CC100,AutoPost 141,CAD
GL000142,2023-08-09,4010,Online Sales,0,1112.16,Finance,CC200,AutoPost 142,CAD
GL000143,2024-06-18,4000,Sales Revenue,0,3711.83,Sales,CC400,AutoPost 143,CAD
GL000144,2023-04-30,5000,COGS,715.32,0,Marketing,CC300,AutoPost 144,GBP
GL000145,2023-06-03,6000,Payroll Expense,1366.61,0,HR,CC200,AutoPost 145,USD
GL000146,2023-05-22,5000,COGS,1091.43,0,IT,CC200,AutoPost 146,CAD
GL000147,2024-06-25,4000,Sales Revenue,0,1164.35,Operations,CC200,AutoPost 147,GBP
GL000148,2024-03-01,5010,Travel Expense,1139.5,0,Operations,CC200,AutoPost 148,AUD
GL000149,2025-01-11,4000,Sales Revenue,0,338.86,Finance,CC400,AutoPost 149,USD
GL000150,2025-02-18,5000,COGS,1379.51,0,HR,CC400,AutoPost 150,USD
GL000151,2024-03-17,4010,Online Sales,0,978.34,Marketing,CC300,AutoPost 151,AUD
GL000152,2025-06-03,6000,Payroll Expense,1490.29,0,Sales,CC300,AutoPost 152,EUR
GL000153,2024-10-11,5010,Travel Expense,1515.7,0,Operations,CC400,AutoPost 153,USD
GL000154,2025-06-14,4000,Sales Revenue,0,1736.2,Operations,CC400,AutoPost 154,GBP
GL000155,2023-07-09,6000,Payroll Expense,1711.43,0,Finance,CC400,AutoPost 155,CAD
GL000156,2023-04-19,6000,Payroll Expense,511.34,0,Marketing,CC200,AutoPost 156,GBP
GL000157,2023-04-21,4000,Sales Revenue,0,4520.98,Sales,CC400,AutoPost 157,AUD
GL000158,2023-01-29,5000,COGS,1483.66,0,IT,CC200,AutoPost 158,AUD
GL000159,2025-06-20,5010,Travel Expense,571.01,0,Finance,CC300,AutoPost 159,EUR
GL000160,2023-12-09,6000,Payroll Expense,1556.44,0,Operations,CC400,AutoPost 160,USD
GL000161,2025-02-17,4000,Sales Revenue,0,2614.68,HR,CC100,AutoPost 161,AUD
GL000162,2024-12-21,4000,Sales Revenue,0,3901.69,Operations,CC100,AutoPost 162,EUR
GL000163,2025-02-26,4010,Online Sales,0,1890.76,HR,CC200,AutoPost 163,CAD
GL000164,2024-07-17,4010,Online Sales,0,1829.98,HR,CC100,AutoPost 164,CAD
GL000165,2024-06-04,4000,Sales Revenue,0,1161.94,Finance,CC300,AutoPost 165,EUR
GL000166,2023-11-22,6000,Payroll Expense,1114.08,0,Sales,CC100,AutoPost 166,EUR
GL000167,2024-05-06,4010,Online Sales,0,859.97,Sales,CC100,AutoPost 167,EUR
GL000168,2023-09-13,5000,COGS,1369.63,0,Sales,CC100,AutoPost 168,USD
GL000169,2023-01-17,6000,Payroll Expense,1174.41,0,Sales,CC500,AutoPost 169,AUD
GL000170,2024-09-29,5010,Travel Expense,605.78,0,Marketing,CC200,AutoPost 170,EUR
GL000171,2024-04-02,5000,COGS,60.93,0,Finance,CC400,AutoPost 171,AUD
GL000172,2024-07-16,5010,Travel Expense,210.91,0,IT,CC400,AutoPost 172,EUR
GL000173,2025-03-13,5010,Travel Expense,763.11,0,Finance,CC100,AutoPost 173,EUR
GL000174,2024-08-22,5000,COGS,858.91,0,Marketing,CC400,AutoPost 174,EUR
GL000175,2024-02-08,5010,Travel Expense,1330.42,0,Sales,CC300,AutoPost 175,USD
GL000176,2024-08-07,4000,Sales Revenue,0,1750.45,HR,CC400,AutoPost 176,USD
GL000177,2023-12-09,4000,Sales Revenue,0,335.99,IT,CC500,AutoPost 177,GBP
GL000178,2025-06-08,6000,Payroll Expense,1783.05,0,IT,CC200,AutoPost 178,USD
GL000179,2023-04-20,5010,Travel Expense,278.89,0,Sales,CC400,AutoPost 179,CAD
GL000180,2025-04-23,4010,Online Sales,0,4714.11,Sales,CC500,AutoPost 180,GBP
GL000181,2023-01-10,5010,Travel Expense,782.32,0,Marketing,CC100,AutoPost 181,USD
GL000182,2024-09-10,5000,COGS,209.01,0,Marketing,CC200,AutoPost 182,GBP
GL000183,2024-03-01,5000,COGS,449.54,0,Operations,CC100,AutoPost 183,EUR
GL000184,2023-09-18,6000,Payroll Expense,1740.12,0,Marketing,CC100,AutoPost 184,AUD
GL000185,2023-05-23,5000,COGS,1625.69,0,Marketing,CC300,AutoPost 185,GBP
GL000186,2024-12-09,5000,COGS,586.76,0,Finance,CC400,AutoPost 186,AUD
GL000187,2023-03-20,4000,Sales Revenue,0,2824.84,Marketing,CC100,AutoPost 187,GBP
GL000188,2024-11-01,4000,Sales Revenue,0,1046.78,Marketing,CC500,AutoPost 188,AUD
GL000189,2023-02-06,4010,Online Sales,0,3930.36,Sales,CC300,AutoPost 189,GBP
GL000190,2024-09-11,4000,Sales Revenue,0,2772.6,Finance,CC200,AutoPost 190,AUD
GL000191,2025-06-30,5000,COGS,1409.16,0,IT,CC500,AutoPost 191,EUR
GL000192,2023-12-16,4000,Sales Revenue,0,1470.69,IT,CC300,AutoPost 192,GBP
GL000193,2024-08-18,4010,Online Sales,0,3549.99,Sales,CC100,AutoPost 193,EUR
GL000194,2023-01-29,4000,Sales Revenue,0,2371.4,Marketing,CC200,AutoPost 194,CAD
GL000195,2023-02-13,6000,Payroll Expense,1869.71,0,HR,CC400,AutoPost 195,AUD
GL000196,2024-01-15,5000,COGS,1812.22,0,Marketing,CC200,AutoPost 196,CAD
GL000197,2023-02-12,5000,COGS,218.2,0,Operations,CC500,AutoPost 197,GBP
GL000198,2023-03-12,4010,Online Sales,0,965.46,IT,CC100,AutoPost 198,AUD
GL000199,2024-09-14,4000,Sales Revenue,0,321.5,IT,CC100,AutoPost 199,AUD
GL000200,2024-02-25,6000,Payroll Expense,763.01,0,HR,CC100,AutoPost 200,GBP
GL000201,2023-01-28,4010,Online Sales,0,2497.61,IT,CC400,AutoPost 201,USD
GL000202,2024-09-03,4000,Sales Revenue,0,4299.82,Sales,CC200,AutoPost 202,CAD
GL000203,2024-10-26,6000,Payroll Expense,492.26,0,Sales,CC400,AutoPost 203,USD
GL000204,2023-08-18,4000,Sales Revenue,0,4036.79,IT,CC500,AutoPost 204,EUR
GL000205,2024-09-13,4010,Online Sales,0,3885.84,IT,CC300,AutoPost 205,GBP
GL000206,2023-02-08,6000,Payroll Expense,1161.43,0,IT,CC500,AutoPost 206,GBP
GL000207,2025-04-04,4000,Sales Revenue,0,4478.06,HR,CC200,AutoPost 207,AUD
GL000208,2025-03-23,6000,Payroll Expense,169.1,0,Operations,CC500,AutoPost 208,CAD
GL000209,2023-09-13,5000,COGS,1138.92,0,HR,CC100,AutoPost 209,AUD
GL000210,2023-08-21,4010,Online Sales,0,3750.39,Finance,CC300,AutoPost 210,CAD
GL000211,2023-11-29,5010,Travel Expense,1619.58,0,Sales,CC400,AutoPost 211,USD
GL000212,2024-11-12,4010,Online Sales,0,668.17,Sales,CC400,AutoPost 212,CAD
GL000213,2025-02-19,5000,COGS,1003.8,0,Marketing,CC100,AutoPost 213,AUD
GL000214,2023-08-14,4010,Online Sales,0,1941.69,Sales,CC200,AutoPost 214,EUR
GL000215,2024-01-18,5010,Travel Expense,521.33,0,Finance,CC100,AutoPost 215,AUD
GL000216,2024-05-06,5010,Travel Expense,1612.68,0,Sales,CC500,AutoPost 216,AUD
GL000217,2023-11-01,5000,COGS,1386.6,0,IT,CC100,AutoPost 217,USD
GL000218,2024-02-12,5010,Travel Expense,1060.1,0,Operations,CC100,AutoPost 218,EUR
GL000219,2025-03-07,5000,COGS,558.04,0,IT,CC300,AutoPost 219,AUD
GL000220,2024-12-10,4000,Sales Revenue,0,345.31,Sales,CC200,AutoPost 220,AUD
GL000221,2024-05-17,4010,Online Sales,0,1449.49,Sales,CC200,AutoPost 221,EUR
GL000222,2023-11-21,6000,Payroll Expense,491.91,0,Sales,CC500,AutoPost 222,USD
GL000223,2024-03-16,5000,COGS,1439,0,Operations,CC300,AutoPost 223,AUD
GL000224,2023-04-11,6000,Payroll Expense,858.22,0,Sales,CC300,AutoPost 224,GBP
GL000225,2023-12-20,4010,Online Sales,0,4850.64,Operations,CC300,AutoPost 225,GBP
GL000226,2024-11-11,6000,Payroll Expense,103.53,0,IT,CC400,AutoPost 226,CAD
GL000227,2025-05-02,4010,Online Sales,0,4048.34,Finance,CC300,AutoPost 227,GBP
GL000228,2025-06-14,5010,Travel Expense,581.82,0,Marketing,CC200,AutoPost 228,USD
GL000229,2023-08-10,6000,Payroll Expense,539.15,0,IT,CC500,AutoPost 229,USD
GL000230,2025-02-16,4000,Sales Revenue,0,2862.93,HR,CC500,AutoPost 230,EUR
GL000231,2024-01-03,4010,Online Sales,0,3938.51,Marketing,CC200,AutoPost 231,GBP
GL000232,2023-08-12,5010,Travel Expense,871.28,0,IT,CC300,AutoPost 232,CAD
GL000233,2023-07-14,5000,COGS,1527.74,0,Operations,CC500,AutoPost 233,GBP
GL000234,2023-12-15,4000,Sales Revenue,0,1075.51,IT,CC100,AutoPost 234,USD
GL000235,2024-04-15,4000,Sales Revenue,0,2361.18,IT,CC100,AutoPost 235,USD
GL000236,2024-10-21,5010,Travel Expense,151.34,0,Marketing,CC500,AutoPost 236,AUD
GL000237,2023-01-24,4010,Online Sales,0,1299.37,Marketing,CC300,AutoPost 237,USD
GL000238,2024-08-30,5000,COGS,118.21,0,IT,CC300,AutoPost 238,EUR
GL000239,2023-07-06,4000,Sales Revenue,0,4864.04,HR,CC500,AutoPost 239,GBP
GL000240,2025-02-24,4000,Sales Revenue,0,4495.32,Finance,CC200,AutoPost 240,GBP
GL000241,2023-03-26,6000,Payroll Expense,1121.29,0,IT,CC100,AutoPost 241,EUR
GL000242,2023-01-14,6000,Payroll Expense,908.7,0,HR,CC100,AutoPost 242,EUR
GL000243,2023-05-14,4010,Online Sales,0,3760.55,IT,CC300,AutoPost 243,AUD
GL000244,2025-03-09,5000,COGS,86.6,0,Sales,CC300,AutoPost 244,GBP
GL000245,2024-07-22,4010,Online Sales,0,4264.16,HR,CC300,AutoPost 245,GBP
GL000246,2023-11-04,4010,Online Sales,0,4005.6,Sales,CC200,AutoPost 246,USD
GL000247,2025-06-16,5000,COGS,736.75,0,Marketing,CC200,AutoPost 247,EUR
GL000248,2024-06-12,4010,Online Sales,0,4679.5,HR,CC500,AutoPost 248,AUD
GL000249,2025-03-27,5010,Travel Expense,1226.52,0,Operations,CC200,AutoPost 249,USD
GL000250,2024-07-02,4000,Sales Revenue,0,2655.25,HR,CC500,AutoPost 250,USD
GL000251,2023-07-08,4000,Sales Revenue,0,889.23,IT,CC400,AutoPost 251,CAD
GL000252,2024-06-08,6000,Payroll Expense,734.75,0,Marketing,CC200,AutoPost 252,GBP
GL000253,2025-04-21,6000,Payroll Expense,1799.36,0,Finance,CC400,AutoPost 253,CAD
GL000254,2023-01-22,6000,Payroll Expense,950.03,0,Marketing,CC200,AutoPost 254,EUR
GL000255,2024-11-26,4000,Sales Revenue,0,1523.43,Finance,CC500,AutoPost 255,GBP
GL000256,2025-04-18,4000,Sales Revenue,0,2725.09,Finance,CC500,AutoPost 256,GBP
GL000257,2024-05-02,6000,Payroll Expense,1186.77,0,HR,CC200,AutoPost 257,USD
GL000258,2024-03-05,4010,Online Sales,0,3404.96,Sales,CC500,AutoPost 258,AUD
GL000259,2023-06-04,5010,Travel Expense,436.8,0,HR,CC200,AutoPost 259,AUD
GL000260,2023-07-31,5000,COGS,1095.13,0,HR,CC100,AutoPost 260,GBP
GL000261,2024-02-26,5010,Travel Expense,393.67,0,Marketing,CC400,AutoPost 261,AUD
GL000262,2025-02-09,4000,Sales Revenue,0,799.77,Operations,CC300,AutoPost 262,GBP
GL000263,2024-01-09,4000,Sales Revenue,0,4354.13,Marketing,CC400,AutoPost 263,EUR
GL000264,2025-01-06,5000,COGS,1157.8,0,Sales,CC500,AutoPost 264,CAD
GL000265,2023-10-21,4000,Sales Revenue,0,2597.25,Operations,CC500,AutoPost 265,AUD
GL000266,2025-05-27,5000,COGS,1343.21,0,Marketing,CC200,AutoPost 266,EUR
GL000267,2023-09-22,5010,Travel Expense,1498.82,0,HR,CC100,AutoPost 267,EUR
GL000268,2024-02-16,4000,Sales Revenue,0,4728.58,Marketing,CC400,AutoPost 268,AUD
GL000269,2024-02-10,4010,Online Sales,0,3612.83,Operations,CC100,AutoPost 269,EUR
GL000270,2023-06-14,4010,Online Sales,0,4506.28,Marketing,CC300,AutoPost 270,EUR
GL000271,2023-11-24,5010,Travel Expense,1000.3,0,Operations,CC100,AutoPost 271,CAD
GL000272,2023-08-07,5000,COGS,991.08,0,Finance,CC300,AutoPost 272,CAD
GL000273,2024-04-07,5000,COGS,1499.52,0,Finance,CC500,AutoPost 273,AUD
GL000274,2023-05-06,4010,Online Sales,0,1203.8,Finance,CC500,AutoPost 274,GBP
GL000275,2024-01-25,4000,Sales Revenue,0,656.25,Marketing,CC200,AutoPost 275,AUD
GL000276,2025-02-06,5000,COGS,620.3,0,HR,CC100,AutoPost 276,CAD
GL000277,2025-04-28,6000,Payroll Expense,85.24,0,Finance,CC200,AutoPost 277,CAD
GL000278,2023-09-05,5010,Travel Expense,628.62,0,HR,CC200,AutoPost 278,AUD
GL000279,2023-04-09,4000,Sales Revenue,0,1358.19,Marketing,CC400,AutoPost 279,GBP
GL000280,2024-07-02,4010,Online Sales,0,2329.64,Finance,CC400,AutoPost 280,USD
GL000281,2025-01-05,6000,Payroll Expense,1039.56,0,Sales,CC200,AutoPost 281,CAD
GL000282,2023-03-15,5010,Travel Expense,1441.17,0,HR,CC400,AutoPost 282,CAD
GL000283,2023-04-15,4000,Sales Revenue,0,873.53,IT,CC200,AutoPost 283,EUR
GL000284,2025-01-28,4000,Sales Revenue,0,1932.35,Sales,CC400,AutoPost 284,AUD
GL000285,2025-06-25,5000,COGS,1733.12,0,Sales,CC500,AutoPost 285,CAD
GL000286,2024-11-26,4000,Sales Revenue,0,3004.12,Sales,CC200,AutoPost 286,EUR
GL000287,2024-04-01,5010,Travel Expense,1521.85,0,IT,CC100,AutoPost 287,AUD
GL000288,2025-02-24,5000,COGS,1486.16,0,Marketing,CC500,AutoPost 288,AUD
GL000289,2025-04-30,5000,COGS,1308.19,0,Sales,CC400,AutoPost 289,USD
